Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1186;25744;"Order";journal;"15729273, 01678094";"Springer Netherlands";No;No;0,400;Q3;28;62;101;1372;52;101;0,44;22,13;17,54;0;0;Netherlands;Western Europe;"Springer Netherlands";"1984-2025";"Algebra and Number Theory (Q3); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Geometry and Topology (Q3)";"Computer Science; Mathematics"
1187;17954;"Computer Methods in Biomechanics and Biomedical Engineering";journal;"14768259, 10255842";"Informa Healthcare";No;No;0,398;Q3;71;385;473;16885;1075;473;2,16;43,86;28,76;0;104;United Kingdom;Western Europe;"Informa Healthcare";"1997-2025";"Bioengineering (Q3); Biomedical Engineering (Q3); Computer Science Applications (Q3); Human-Computer Interaction (Q3); Medicine (miscellaneous) (Q3)";"Chemical Engineering; Computer Science; Engineering; Medicine"
1188;6700153282;"International Journal of Web and Grid Services";journal;"17411106, 17411114";"Inderscience Enterprises Ltd";No;No;0,398;Q3;28;21;59;915;121;59;2,38;43,57;18,52;0;6;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2024";"Computer Networks and Communications (Q3); Software (Q3)";"Computer Science"
1189;21100463939;"Journal of Engineering (United Kingdom)";journal;"23144912, 23144904";"John Wiley and Sons Ltd";Yes;No;0,397;Q3;38;74;135;3027;348;135;2,67;40,91;18,83;0;25;Egypt;Africa/Middle East;"John Wiley and Sons Ltd";"2013-2024";"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Chemical Engineering (miscellaneous) (Q3); Civil and Structural Engineering (Q3); Hardware and Architecture (Q3)";"Chemical Engineering; Computer Science; Engineering"
1190;21101072121;"Journal of Geo-Information Science";journal;"15608999";"Science Press";No;No;0,397;Q3;27;185;544;8302;1027;544;1,82;44,88;36,04;0;103;China;Asiatic Region;"Science Press";"2017-2025";"Computers in Earth Sciences (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science; Earth and Planetary Sciences"
1191;21101167500;"Proceedings - International Conference on Computational Linguistics, COLING";conference and proceedings;"29512093";"Association for Computational Linguistics (ACL)";No;No;0,397;-;23;0;743;0;2753;728;3,71;0,00;0,00;0;0;United States;Northern America;"Association for Computational Linguistics (ACL)";"2022, 2025";"Computational Theory and Mathematics; Computer Science Applications; Theoretical Computer Science";"Computer Science; Mathematics"
1192;28456;"Computational Geometry: Theory and Applications";journal;"09257721";"Elsevier B.V.";No;No;0,396;Q3;61;33;168;891;134;161;0,90;27,00;20,25;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1991-2025";"Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Control and Optimization (Q3); Geometry and Topology (Q3)";"Computer Science; Mathematics"
1193;21101228214;"EJNMMI Reports";journal;"3005074X";"Springer Nature";Yes;No;0,395;Q2;17;42;90;1217;149;90;1,26;28,98;33,21;0;23;Switzerland;Western Europe;"Springer Nature";"2024-2025";"Computer Science (miscellaneous) (Q2); Biophysics (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Molecular Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
1194;21100935071;"Journal of Internet Services and Information Security";journal;"21822077, 21822069";"Innovative Information Science and Technology Research Group";Yes;No;0,395;Q2;17;98;108;3524;574;106;5,25;35,96;37,04;0;37;South Korea;Asiatic Region;"Innovative Information Science and Technology Research Group";"2019-2024";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Engineering"
1195;21100394100;"IET Networks";journal;"20474962, 20474954";"John Wiley &amp; Sons Inc.";Yes;No;0,395;Q3;33;44;88;1952;202;86;2,33;44,36;22,22;0;15;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2014-2025";"Computer Networks and Communications (Q3); Control and Optimization (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Mathematics"
1196;21100897215;"Revista de Educacion a Distancia";journal;"15787680";"Universidad de Murcia";Yes;Yes;0,395;Q3;18;25;120;1510;230;120;1,65;60,40;37,21;0;15;Spain;Western Europe;"Universidad de Murcia";"2018-2025";"Education (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1197;24208;"Genetic Programming and Evolvable Machines";journal;"13892576, 15737632";"Springer New York";No;No;0,394;Q3;45;21;71;942;124;55;0,94;44,86;30,91;0;0;United States;Northern America;"Springer New York";"2003-2025";"Computer Science Applications (Q3); Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1198;12100154806;"International Journal of e-Business Research";journal;"1548114X, 15481131";"IGI Publishing";No;No;0,394;Q3;30;6;55;376;171;54;3,69;62,67;60,00;0;2;United States;Northern America;"IGI Publishing";"2005-2024";"Management Information Systems (Q2); Computer Science Applications (Q3)";"Business, Management and Accounting; Computer Science"
1199;21100898958;"Journal of Mathematics and Computer Science";journal;"2008949X";"International Scientific Research Publications";No;No;0,394;Q3;18;159;253;5224;331;253;1,37;32,86;28,77;0;19;Malaysia;Asiatic Region;"International Scientific Research Publications";"2018-2025";"Computational Mechanics (Q2); Mathematics (miscellaneous) (Q2); Computational Mathematics (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering; Mathematics"
1200;21101021079;"Corpus Pragmatics";journal;"25099515";"Springer Science + Business Media";No;No;0,393;Q3;11;15;46;684;69;44;1,11;45,60;60,00;0;1;Switzerland;Western Europe;"Springer Science + Business Media";"2017-2025";"Linguistics and Language (Q1); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1201;18184;"Engineering Computations";journal;"02644401";"Emerald Group Publishing Ltd.";No;No;0,393;Q3;68;142;380;6305;764;378;1,95;44,40;23,75;0;22;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1984-2025";"Engineering (miscellaneous) (Q2); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Software (Q3)";"Computer Science; Engineering"
1202;21100238613;"Digital Education Review";journal;"20139144";"Universitat de Barcelona";Yes;Yes;0,392;Q3;26;24;87;1010;161;85;1,54;42,08;62,00;0;2;Spain;Western Europe;"Universitat de Barcelona";"2010-2025";"Education (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1203;21100450131;"Journal of Technology and Science Education";journal;"20145349, 20136374";"OmniaScience";Yes;No;0,392;Q3;23;67;144;3225;392;143;2,67;48,13;50,54;0;28;Spain;Western Europe;"OmniaScience";"2014-2025";"Education (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1204;26644;"Concurrent Engineering Research and Applications";journal;"15312003, 1063293X";"SAGE Publications Ltd";No;No;0,391;Q3;46;8;85;369;224;81;1,68;46,13;21,43;0;8;United Kingdom;Western Europe;"SAGE Publications Ltd";"1993-2025";"Engineering (miscellaneous) (Q2); Computer Science Applications (Q3); Modeling and Simulation (Q3)";"Computer Science; Engineering; Mathematics"
1205;21100857424;"SCIRES-IT";journal;"22394303";"Caspur -Ciber Publishing";Yes;Yes;0,389;Q3;13;43;82;1275;111;81;1,24;29,65;51,43;0;20;Italy;Western Europe;"Caspur -Ciber Publishing";"2016-2024";"Conservation (Q1); Library and Information Sciences (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
1206;12763;"International Journal of Technology Management";journal;"17415276, 02675730";"Inderscience Enterprises Ltd";No;No;0,388;Q3;69;41;137;3225;301;135;1,55;78,66;39,83;0;29;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"1986-1989, 1996-2025";"Engineering (miscellaneous) (Q2); Law (Q2); Computer Science Applications (Q3); Industrial Relations (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
1207;21100244214;"Journal of Control, Automation and Electrical Systems";journal;"21953880, 21953899";"Springer Science + Business Media";No;No;0,388;Q3;32;86;393;3055;779;392;1,82;35,52;10,94;0;23;United States;Northern America;"Springer Science + Business Media";"2013-2025";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3)";"Computer Science; Energy; Engineering"
1208;5400152714;"IET Software";journal;"17518806, 17518814";"John Wiley and Sons Ltd";Yes;No;0,387;Q2;50;21;121;980;309;119;2,66;46,67;49,25;0;2;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2007-2025";"Computer Graphics and Computer-Aided Design (Q2)";"Computer Science"
1209;18780;"Circuits, Systems, and Signal Processing";journal;"0278081X, 15315878";"Birkhauser Boston";No;No;0,387;Q3;68;425;977;16915;2464;976;2,66;39,80;29,70;0;24;United States;Northern America;"Birkhauser Boston";"1982-2025";"Applied Mathematics (Q3); Signal Processing (Q3)";"Computer Science; Mathematics"
1210;14363;"INFOR";journal;"03155986, 19160615";"Taylor and Francis Ltd.";No;No;0,387;Q3;38;38;52;1785;97;44;1,73;46,97;32,99;0;9;Canada;Northern America;"Taylor and Francis Ltd.";"1971-1989, 1996-2025";"Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Signal Processing (Q3)";"Computer Science; Decision Sciences"
1211;21101219666;"Journal of Data Science";journal;"1680743X, 16838602";"Center for Applied Statistics, School of Statistics, Renmin University of China";Yes;Yes;0,387;Q3;9;40;108;1360;137;102;0,75;34,00;41,03;0;9;China;Asiatic Region;"Center for Applied Statistics, School of Statistics, Renmin University of China";"2020-2025";"Computer Science Applications (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
1212;21101027245;"Journal of Statistical Theory and Applications";journal;"15387887, 22141766";"Springer International Publishing AG";Yes;No;0,387;Q3;12;28;65;860;123;65;1,71;30,71;23,81;0;4;France;Western Europe;"Springer International Publishing AG";"2019-2025";"Applied Mathematics (Q3); Computer Science Applications (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
1213;12400154717;"Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/ Journal of Transportation Systems Engineering and Information Technology";journal;"10096744";"Science Press";No;No;0,386;Q3;36;165;584;2509;1006;584;1,74;15,21;32,43;0;119;China;Asiatic Region;"Science Press";"2008-2024";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Transportation (Q3)";"Computer Science; Engineering; Mathematics; Social Sciences"
1214;21100310020;"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS";conference and proceedings;"15488403, 15582914";"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";No;No;0,386;-;66;458;1140;13897;1662;1130;1,36;30,34;22,28;0;34;United States;Northern America;"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";"2008-2010, 2015-2024";"Artificial Intelligence; Control and Systems Engineering; Software";"Computer Science; Engineering"
1215;19700201403;"Global Journal of Engineering Education";journal;"13283154";"World Institute for Engineering and Technology Education (WIETE)";No;No;0,385;Q2;18;33;98;512;129;92;1,46;15,52;49,21;0;21;Australia;Pacific Region;"World Institute for Engineering and Technology Education (WIETE)";"2010-2024";"Computer Science (miscellaneous) (Q2); Education (Q2)";"Computer Science; Social Sciences"
1216;27018;"Journal of Energy in Southern Africa";trade journal;"1021447X";"Energy Research Institute, University of Cape Town";Yes;Yes;0,385;Q2;29;3;43;188;73;43;1,75;62,67;33,33;0;1;South Africa;Africa;"Energy Research Institute, University of Cape Town";"1993-2007, 2009-2024";"Computer Science (miscellaneous) (Q2); Energy (miscellaneous) (Q3)";"Computer Science; Energy"
1217;21101052930;"Acta Acustica";journal;"10224793, 26814617";"European Acoustics Association, EAA";Yes;No;0,385;Q3;75;34;185;1271;225;183;1,28;37,38;16,22;0;3;France;Western Europe;"European Acoustics Association, EAA";"2020-2025";"Music (Q1); Acoustics and Ultrasonics (Q2); Computer Science Applications (Q3); Electrical and Electronic Engineering (Q3); Speech and Hearing (Q3)";"Arts and Humanities; Computer Science; Engineering; Health Professions; Physics and Astronomy"
1218;7100153120;"Pollack Periodica";journal;"17881994";"Akademiai Kiado";No;No;0,385;Q3;18;107;264;2441;300;264;1,25;22,81;31,62;0;32;Hungary;Eastern Europe;"Akademiai Kiado";"2007-2025";"Civil and Structural Engineering (Q3); Computer Science Applications (Q3); Materials Science (miscellaneous) (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Engineering; Materials Science; Mathematics"
1219;25022;"IEEE Pervasive Computing";journal;"15361268";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,383;Q3;110;39;131;598;262;116;2,01;15,33;24,58;0;9;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2025";"Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Software (Q3)";"Computer Science"
1220;21100871297;"Journal of Theoretical and Computational Acoustics";journal;"25917811, 25917285";"World Scientific";No;No;0,383;Q3;44;33;89;1302;128;88;1,20;39,45;19,00;0;1;Singapore;Asiatic Region;"World Scientific";"2018-2025";"Acoustics and Ultrasonics (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3)";"Computer Science; Mathematics; Physics and Astronomy"
1221;19700182406;"International Journal of Intelligent Computing and Cybernetics";journal;"1756378X, 17563798";"Emerald Group Publishing Ltd.";No;No;0,382;Q2;27;48;102;2224;314;102;3,06;46,33;35,71;0;9;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2025";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1222;14452;"Simulation";journal;"17413133, 00375497";"SAGE Publications Ltd";No;No;0,382;Q2;56;92;198;4780;431;192;2,24;51,96;24,55;0;20;United Kingdom;Western Europe;"SAGE Publications Ltd";"1963-2025";"Computer Graphics and Computer-Aided Design (Q2); Mathematics (miscellaneous) (Q2); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Mathematics"
1223;21101188421;"Applied AI Letters";journal;"26895595";"John Wiley and Sons Inc";Yes;No;0,382;Q3;11;7;50;304;224;2;2,71;43,43;12,50;0;2;United States;Northern America;"John Wiley and Sons Inc";"2020-2025";"Artificial Intelligence (Q3)";"Computer Science"
1224;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";"Taylor and Francis Ltd.";No;No;0,382;Q3;12;21;43;1503;122;42;2,40;71,57;31,25;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2025";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
1225;21805;"Mathematical Methods of Operations Research";journal;"14325217, 14322994";"Physica-Verlag";No;No;0,382;Q3;56;44;112;1558;138;109;1,09;35,41;31,91;0;2;Germany;Western Europe;"Physica-Verlag";"1996-2025";"Mathematics (miscellaneous) (Q2); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Mathematics"
1226;21101100718;"Proceedings - IEEE Consumer Communications and Networking Conference, CCNC";conference and proceedings;"23319860";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,382;-;14;272;505;4181;840;502;1,66;15,37;17,53;0;53;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2022-2024";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering";"Computer Science; Engineering"
1227;21101082067;"Digital Government: Research and Practice";journal;"26390175";"Association for Computing Machinery (ACM)";No;No;0,380;Q3;16;41;93;2524;207;90;1,66;61,56;28,99;2;24;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2024";"Public Administration (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Social Sciences"
1228;4000148705;"Interactions (N.Y.)";trade journal;"15583449, 10725520";"Association for Computing Machinery";No;No;0,380;Q3;62;76;287;351;433;286;1,27;4,62;51,28;0;5;United States;Northern America;"Association for Computing Machinery";"1994-1995, 1997, 2006-2025";"Human-Computer Interaction (Q3)";"Computer Science"
1229;12320;"Journal of the Optical Society of America A: Optics and Image Science, and Vision";journal;"15208532, 10847529";"Optica Publishing Group";Yes;No;0,379;Q2;177;301;844;11015;1326;832;1,60;36,59;27,99;0;7;United States;Northern America;"Optica Publishing Group";"1979, 1984-2025";"Computer Vision and Pattern Recognition (Q2); Atomic and Molecular Physics, and Optics (Q3); Electronic, Optical and Magnetic Materials (Q3); Medicine (miscellaneous) (Q3)";"Computer Science; Materials Science; Medicine; Physics and Astronomy"
1230;26802;"International Journal of Speech Technology";journal;"13812416, 15728110";"Springer Netherlands";No;No;0,378;Q2;43;89;243;3676;727;242;2,43;41,30;35,23;0;6;Netherlands;Western Europe;"Springer Netherlands";"1995, 1997-2025";"Linguistics and Language (Q1); Computer Vision and Pattern Recognition (Q2); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Social Sciences"
1231;24449;"Kybernetika";journal;"00235954, 1805949X";"Academy of Sciences of the Czech Republic";Yes;No;0,378;Q3;43;39;161;1326;255;158;2,47;34,00;27,96;0;2;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2024";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Mathematics"
1232;13799;"Problems of Information Transmission";journal;"00329460, 16083253";"Pleiades Publishing";No;No;0,378;Q3;21;22;74;545;56;74;0,88;24,77;20,83;0;1;United States;Northern America;"Pleiades Publishing";"1972-1991, 2005-2024";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science"
1233;21100291859;"IEEE International Conference on Cloud Computing, CLOUD";conference and proceedings;"21596182, 21596190";"IEEE Computer Society";No;No;0,378;-;41;59;239;2090;430;221;1,67;35,42;24,87;0;3;United States;Northern America;"IEEE Computer Society";"2013-2014, 2016-2024";"Artificial Intelligence; Information Systems; Software";"Computer Science"
1234;145205;"Proceedings - International Conference on Computer Communications and Networks, ICCCN";conference and proceedings;"10952055";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,378;-;54;119;311;2772;475;297;1,16;23,29;22,43;0;19;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2011, 2013-2015, 2018-2024";"Computer Networks and Communications; Computer Science (miscellaneous); Hardware and Architecture; Software";"Computer Science"
1235;21100935763;"Health Systems";journal;"20476973, 20476965";"Taylor and Francis Inc.";No;No;0,377;Q3;22;35;75;2019;151;73;1,81;57,69;37,27;1;10;United States;Northern America;"Taylor and Francis Inc.";"2012-2025";"Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3); Health Policy (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Health Professions; Medicine"
1236;21100788266;"Biomedical Physics and Engineering Express";journal;"20571976";"IOP Publishing Ltd.";No;No;0,376;Q3;32;285;515;12131;930;511;1,77;42,56;28,36;0;82;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2015-2025";"Bioengineering (Q3); Biomaterials (Q3); Biomedical Engineering (Q3); Biophysics (Q3); Computer Science Applications (Q3); Health Informatics (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Physiology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science; Medicine"
1237;21100773821;"Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization";journal;"21681163, 21681171";"Taylor and Francis Ltd.";Yes;No;0,376;Q3;29;96;354;4221;742;350;1,96;43,97;31,58;0;35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Computational Mechanics (Q2); Biomedical Engineering (Q3); Computer Science Applications (Q3); Radiology, Nuclear Medicine and Imaging (Q3)";"Computer Science; Engineering; Medicine"
1238;21100259509;"E-Informatica Software Engineering Journal";journal;"18977979, 20844840";"Wroclaw University of Science and Technology";Yes;Yes;0,376;Q3;13;9;26;567;56;26;1,94;63,00;32,14;0;0;Poland;Eastern Europe;"Wroclaw University of Science and Technology";"2012-2025";"Software (Q3)";"Computer Science"
1239;21100897522;"i-com";journal;"21966826, 1618162X";"De Gruyter Oldenbourg";Yes;No;0,376;Q3;14;29;79;1510;180;68;1,79;52,07;42,42;0;3;Germany;Western Europe;"De Gruyter Oldenbourg";"2001-2025";"Communication (Q2); Business, Management and Accounting (miscellaneous) (Q3); Computer Networks and Communications (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Social Psychology (Q3)";"Business, Management and Accounting; Computer Science; Psychology; Social Sciences"
1240;19271;"International Journal on Software Tools for Technology Transfer";journal;"14332779, 14332787";"Springer Verlag";No;No;0,376;Q3;60;39;155;1724;275;148;1,86;44,21;22,96;0;3;Germany;Western Europe;"Springer Verlag";"1997-2025";"Information Systems (Q3); Software (Q3)";"Computer Science"
1241;21101042013;"Journal of Educational Data Mining";journal;"21572100";"International Educational Data Mining Society";No;No;0,376;Q3;11;19;37;1043;80;33;2,46;54,89;30,51;0;2;United States;Northern America;"International Educational Data Mining Society";"2019-2025";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Education (Q3)";"Computer Science; Social Sciences"
1242;57844;"Journal of Molecular Modeling";journal;"16102940, 09485023";"Springer Science and Business Media Deutschland GmbH";No;No;0,376;Q3;84;419;1143;22634;2733;1137;2,52;54,02;30,22;0;97;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1996-2025";"Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3); Catalysis (Q4)";"Chemical Engineering; Chemistry; Computer Science"
1243;21100943513;"Journal of Operation and Automation in Power Engineering";journal;"24234567, 23224576";"University of Mohaghegh Ardabili, Faculty of Electrical Engineering";Yes;Yes;0,376;Q3;13;33;88;1221;194;88;2,35;37,00;18,07;0;21;Iran;Middle East;"University of Mohaghegh Ardabili, Faculty of Electrical Engineering";"2019-2025";"Applied Mathematics (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3); Information Systems (Q3)";"Computer Science; Energy; Engineering; Mathematics"
1244;21100198458;"IEEE Vehicular Networking Conference, VNC";conference and proceedings;"21579865, 21579857";"IEEE Computer Society";No;No;0,376;-;37;72;91;1042;147;87;1,37;14,47;18,43;0;22;United States;Northern America;"IEEE Computer Society";"2011-2013, 2015-2021, 2023-2024";"Automotive Engineering; Computer Networks and Communications; Control and Systems Engineering; Electrical and Electronic Engineering; Transportation";"Computer Science; Engineering; Social Sciences"
1245;21100201977;"Electronic Journal of Information Systems in Developing Countries";journal;"16814835";"John Wiley and Sons Inc";Yes;No;0,375;Q3;51;46;121;3398;263;115;1,99;73,87;30,43;0;26;China;Asiatic Region;"John Wiley and Sons Inc";"2000-2025";"E-learning (Q3); Information Systems (Q3)";"Computer Science; Social Sciences"
1246;6100153106;"IET Signal Processing";journal;"17519675, 17519683";"John Wiley and Sons Ltd";Yes;No;0,374;Q3;54;43;223;1466;387;220;1,60;34,09;29,52;0;3;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2007-2025";"Electrical and Electronic Engineering (Q3); Signal Processing (Q3)";"Computer Science; Engineering"
1247;24801;"Molecular Simulation";journal;"08927022, 10290435";"Taylor and Francis Ltd.";No;No;0,374;Q3;74;121;445;6783;1106;438;2,19;56,06;31,16;0;37;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2025";"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Condensed Matter Physics (Q3); Information Systems (Q3); Materials Science (miscellaneous) (Q3); Modeling and Simulation (Q3)";"Chemical Engineering; Chemistry; Computer Science; Materials Science; Mathematics; Physics and Astronomy"
1248;145419;"Proceedings - IEEE International Conference on Cluster Computing, ICCC";conference and proceedings;"15525244";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,374;-;52;42;244;1700;369;221;1,34;40,48;19,10;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2011, 2013, 2015-2024";"Engineering (miscellaneous); Hardware and Architecture; Signal Processing; Software";"Computer Science; Engineering"
1249;17963;"International Journal of Circuit Theory and Applications";journal;"1097007X, 00989886";"John Wiley and Sons Ltd";No;No;0,373;Q3;58;563;825;18307;1940;806;2,37;32,52;23,33;0;135;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1973-2025";"Applied Mathematics (Q3); Computer Science Applications (Q3); Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q3)";"Computer Science; Engineering; Materials Science; Mathematics"
1250;24998;"Computer Aided Geometric Design";journal;"01678396";"Elsevier B.V.";No;No;0,372;Q2;79;87;144;3569;267;140;2,00;41,02;25,76;0;4;Netherlands;Western Europe;"Elsevier B.V.";"1984-2025";"Automotive Engineering (Q2); Computer Graphics and Computer-Aided Design (Q2); Aerospace Engineering (Q3); Modeling and Simulation (Q3)";"Computer Science; Engineering; Mathematics"
1251;23617;"AI Communications";journal;"09217126";"SAGE Publications Ltd";No;No;0,372;Q3;46;25;69;1053;126;66;1,20;42,12;24,64;0;3;Netherlands;Western Europe;"SAGE Publications Ltd";"1987-2024";"Artificial Intelligence (Q3)";"Computer Science"
1252;24282;"Proceedings - International Conference on Pattern Recognition";conference and proceedings;"10514651";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,372;-;127;0;721;0;1261;718;1,75;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020-2022";"Computer Vision and Pattern Recognition";"Computer Science"
1253;19700201136;"ACM Inroads";trade journal;"21532184, 21532192";"Association for Computing Machinery (ACM)";No;No;0,371;Q2;31;33;78;795;94;78;1,26;24,09;36,00;0;3;United States;Northern America;"Association for Computing Machinery (ACM)";"2010-2024";"Computer Science (miscellaneous) (Q2); Education (Q3)";"Computer Science; Social Sciences"
1254;21100871307;"Open Computer Science";journal;"22991093";"Walter de Gruyter GmbH";Yes;No;0,371;Q2;24;25;104;757;256;103;2,41;30,28;35,56;0;3;Germany;Western Europe;"Walter de Gruyter GmbH";"2011-2024";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1255;300147006;"Innovations in Systems and Software Engineering";journal;"16145054, 16145046";"Springer London";No;No;0,371;Q3;32;89;133;3618;301;125;2,19;40,65;26,10;0;18;United Kingdom;Western Europe;"Springer London";"2005-2025";"Software (Q3)";"Computer Science"
1256;21100900134;"International Journal on Engineering Applications";journal;"25332295, 22812881";"Praise Worthy Prize";No;No;0,371;Q3;14;44;134;1547;248;134;2,06;35,16;25,00;0;21;Italy;Western Europe;"Praise Worthy Prize";"2018-2024";"Architecture (Q1); Engineering (miscellaneous) (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering; Mathematics"
